"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","significance"
"SAP130",-0.201849861172215,4.12496784148967,-4.36301123833296,1.56856922367875e-05,3.1867625450619e-05,1.93822795653495,"Not_significant"
"IFI27",0.984941403612978,4.81225251815082,4.36167093731876,1.57784415916853e-05,3.20484351092947e-05,1.93261272687656,"Up_in_Sepsis"
"TOP1MT",-0.211869104249268,3.1482783616126,-4.36131801915743,1.58029507517703e-05,3.20905854424322e-05,1.93113443126858,"Not_significant"
"ZNF385A",-0.26220894778716,3.30586359697108,-4.3609554614334,1.58281672588124e-05,3.21341517845297e-05,1.92961587279693,"Not_significant"
"CERK",-0.287219754570345,4.93354875325173,-4.36086119109226,1.58347302215622e-05,3.21398362220444e-05,1.92922104436976,"Not_significant"
"RPAP3",-0.23004271803952,3.22271265559298,-4.35871426534702,1.59849023832727e-05,3.24369330614236e-05,1.92023130282178,"Not_significant"
"PPP4R1",0.318043505708303,5.35714230836828,4.35857442152301,1.59947312073775e-05,3.24477874573282e-05,1.91964588196219,"Not_significant"
"S1PR4",0.282539528108046,5.58761500581405,4.35853007117058,1.59978495472204e-05,3.24477874573282e-05,1.91946022403577,"Not_significant"
"BLK",-0.326691354307921,3.23281387435434,-4.35686561567075,1.61153010977985e-05,3.26782494483136e-05,1.91249379987979,"Not_significant"
"MRPL19",-0.224719262996284,2.96645620272968,-4.35066220343874,1.65603463145066e-05,3.35727315148827e-05,1.88655166022748,"Not_significant"
"APOL6",-0.337403473125168,3.77078346938333,-4.35019393583776,1.6594413512961e-05,3.36338124855718e-05,1.88459479224311,"Not_significant"
"UBE2N",-0.285109307827379,4.44936647847107,-4.34961872082405,1.66363530054798e-05,3.37108163748049e-05,1.88219126264954,"Not_significant"
"ROBO3",-0.232719930114996,3.26049613003306,-4.34923096878018,1.66646815440184e-05,3.37602099306123e-05,1.88057121081816,"Not_significant"
"SEC62",0.26309332452914,4.56988660975551,4.34711420496494,1.68201437188988e-05,3.40670731570109e-05,1.87172959602432,"Not_significant"
"ZSCAN29",-0.224464059840313,3.68824577760537,-4.34487928312006,1.69857880678647e-05,3.4394408697874e-05,1.86239876055357,"Not_significant"
"PELI2",0.251894417871597,4.18545696643905,4.34476067323038,1.6994622437859e-05,3.44041408489579e-05,1.86190368630074,"Not_significant"
"HMGCL",0.182597103575395,4.32294291417562,4.34213621574529,1.71912262926251e-05,3.47939013661873e-05,1.85095247439222,"Not_significant"
"JMJD7-PLA2G4B",-0.189809334838575,3.73650041211364,-4.34077818276311,1.72938111802321e-05,3.49932341365464e-05,1.84528814123291,"Not_significant"
"ZNF213",0.226404088620182,3.99704577450206,4.33979947543715,1.73681045757582e-05,3.51352395029726e-05,1.84120698516501,"Not_significant"
"GATA1",0.389598942942316,4.01094442958127,4.3396091468416,1.73825877522915e-05,3.5156211696027e-05,1.84041342417703,"Not_significant"
"SMG7",0.186931099530677,4.04322585710847,4.33836230225989,1.74777530946201e-05,3.53403146735677e-05,1.83521559417616,"Not_significant"
"TBL3",-0.170372007878683,3.15134320754442,-4.33825988928639,1.74855918510089e-05,3.53477964495779e-05,1.83478871765803,"Not_significant"
"KAT8",0.243713810635912,4.80200762762293,4.33558789204731,1.76912998055193e-05,3.57551802269145e-05,1.8236546251513,"Not_significant"
"NDUFV2",0.249220510121027,5.41176250416116,4.33373885497295,1.78350027473194e-05,3.60370850401833e-05,1.81595348559548,"Not_significant"
"TCF20",-0.150071973875637,3.68153148108058,-4.33298079587726,1.7894239215389e-05,3.61482254348717e-05,1.81279708874549,"Not_significant"
"UQCRFS1",0.202841949426089,5.33670781933264,4.33101671829452,1.80485926730817e-05,3.645141405079e-05,1.80462146375048,"Not_significant"
"BSDC1",0.150604761077188,4.45426749922349,4.33043616984024,1.80944600629624e-05,3.65354097867049e-05,1.80220554250444,"Not_significant"
