gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p,heldout_dataset
ZBTB4,GSE95233,22,51,8.62887460340909,7.40794592686275,8.56976789,7.370551125,-1.22092867654635,Down_in_Sepsis,0.0017825311942959,1.88955739655682e-11,GSE236713
OPLAH,GSE137340,14,43,5.00333366364286,6.47719505460465,4.48531057275,6.338157613,1.47386139096179,Up_in_Sepsis,0.853820598006644,2.74394577444583e-05,GSE236713
OPLAH,GSE54514,18,35,8.57949029094445,8.66695086631429,8.194804192,8.740466118,0.0874605753698408,Up_in_Sepsis,0.523809523809524,0.787389209638866,GSE236713
OPLAH,GSE57065,25,28,4.6954972,6.71958035714286,4.84071,6.720495,2.02408315714286,Up_in_Sepsis,0.985714285714286,3.07543841827492e-13,GSE236713
OPLAH,GSE65682,42,51,4.89024176571429,6.07443696505882,4.907319866,6.10577548,1.18419519934454,Up_in_Sepsis,0.858543417366947,3.12116145752139e-09,GSE236713
OPLAH,GSE95233,22,51,4.61101719818182,5.55561560803922,4.59744795,5.51785171,0.944598409857398,Up_in_Sepsis,0.959001782531194,6.19679960010317e-10,GSE236713
TBX21,GSE137340,14,43,4.81187401007143,5.23630878927907,4.689679941,5.270926895,0.424434779207641,Up_in_Sepsis,0.760797342192691,0.00296634161799207,GSE236713
TBX21,GSE54514,18,35,7.09838906927778,7.0640569006,7.0800471305,7.04426527,-0.0343321686777776,Down_in_Sepsis,0.363492063492064,0.108826486254413,GSE236713
TBX21,GSE57065,25,28,7.1705528,5.81726214285714,7.20119,5.688045,-1.35329065714286,Down_in_Sepsis,0.0828571428571429,9.98865891252887e-09,GSE236713
TBX21,GSE65682,42,51,5.36412357933333,4.25732970401961,5.261554749,4.200597977,-1.10679387531373,Down_in_Sepsis,0.138188608776844,2.24325106836762e-09,GSE236713
TBX21,GSE95233,22,51,8.946720515,6.12023734117647,8.7444283,6.08920024,-2.82648317382353,Down_in_Sepsis,0,1.60188706567253e-11,GSE236713
MBOAT2,GSE137340,14,43,5.25210661667857,6.11768587436047,5.0634674695,6.0258867145,0.865579257681893,Up_in_Sepsis,0.800664451827243,0.000511075771431277,GSE236713
MBOAT2,GSE54514,18,35,8.00047442644445,8.08352207462857,7.9885799885,8.050322533,0.0830476481841274,Up_in_Sepsis,0.598412698412698,0.250718918621702,GSE236713
MBOAT2,GSE57065,25,28,6.4195554,7.41471589285714,6.383385,7.4468725,0.995160492857143,Up_in_Sepsis,0.992857142857143,4.20383668685061e-14,GSE236713
MBOAT2,GSE65682,42,51,5.86010217576191,6.42362696176471,5.90341027683334,6.54037096366667,0.5635247860028,Up_in_Sepsis,0.817460317460318,1.55659726353475e-07,GSE236713
MBOAT2,GSE95233,22,51,6.05110651181818,7.21374337186275,6.0558060575,7.32181216,1.16263686004456,Up_in_Sepsis,0.985739750445633,5.9097281654302e-11,GSE236713
DPH3,GSE137340,14,43,5.16097945014286,6.37018195755039,4.810581855,6.31015521033333,1.20920250740753,Up_in_Sepsis,0.853820598006645,2.74394577444583e-05,GSE236713
DPH3,GSE54514,18,35,7.86257969011111,7.76692964469524,7.83398278533334,7.755830129,-0.0956500454158729,Down_in_Sepsis,0.404761904761905,0.266594271495035,GSE236713
DPH3,GSE57065,25,28,5.9029928,6.99426196428571,5.911605,7.0208775,1.09126916428571,Up_in_Sepsis,0.948571428571429,2.18134873135053e-10,GSE236713
DPH3,GSE65682,42,51,5.11648311806349,5.57446812060131,5.12101343316667,5.62376728833333,0.457985002537815,Up_in_Sepsis,0.755368814192344,2.45413606004188e-05,GSE236713
DPH3,GSE95233,22,51,5.68283380477273,7.18851320852941,5.8394010425,7.233392625,1.50567940375668,Up_in_Sepsis,0.991087344028521,3.63757408976493e-11,GSE236713
CKS2,GSE137340,14,43,5.08599484935714,6.37654857446512,4.6209236445,6.217548301,1.29055372510797,Up_in_Sepsis,0.837209302325581,7.43901516703796e-05,GSE236713
CKS2,GSE54514,18,35,7.67810380458333,8.00606332515714,7.606156707,7.926325083,0.32795952057381,Up_in_Sepsis,0.711111111111111,0.011841241377748,GSE236713
CKS2,GSE57065,25,28,4.5320092,6.00025928571429,4.51401,6.114325,1.46825008571429,Up_in_Sepsis,0.87,8.35495166390768e-07,GSE236713
CKS2,GSE65682,42,51,2.47374663630952,3.65175556994118,2.3667081495,3.379345166,1.17800893363165,Up_in_Sepsis,0.866013071895425,1.46096046156619e-09,GSE236713
CKS2,GSE95233,22,51,4.30072840181818,6.23290274333333,4.50636149,6.02245434,1.93217434151515,Up_in_Sepsis,0.968805704099822,2.6568328672965e-10,GSE236713
C1orf122,GSE137340,14,43,5.56088789928571,6.87881397269767,5.296312564,6.848643173,1.31792607341196,Up_in_Sepsis,0.838870431893688,6.75807999629674e-05,GSE236713
C1orf122,GSE54514,18,35,7.88321259288889,8.00930262971429,7.777810574,7.97199297,0.126090036825397,Up_in_Sepsis,0.673015873015873,0.0415697490247223,GSE236713
C1orf122,GSE57065,25,28,6.6150276,7.1914675,6.66819,7.11316,0.5764399,Up_in_Sepsis,0.81,5.93060810210767e-05,GSE236713
C1orf122,GSE65682,42,51,4.67717149730952,5.38174227831373,4.6305299405,5.403628802,0.704570781004202,Up_in_Sepsis,0.873482726423903,6.73738457061858e-10,GSE236713
