gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,global_direction
LONRF1,0.155391736644353,5.37448442744984,3.34957395942668,0.00090357189281065,0.00174325898723645,-1.72236624565041,Up_in_Sepsis
TMEM127,0.181150152312597,6.69981309647821,3.34930762712618,0.00090441197053389,0.00174448569113143,-1.72322681795755,Up_in_Sepsis
ZNF544,-0.145952629200838,5.50040374770516,-3.34875163307647,0.000906168056903868,0.00174747829623299,-1.72502313874964,Down_in_Sepsis
NRG1,-0.12633128230824,4.40254219972644,-3.3477636958088,0.000909296253962433,0.00175311496728965,-1.72821430663589,Down_in_Sepsis
ZNF317,-0.172013153145642,5.53397234221581,-3.34745197755892,0.000910285360878411,0.00175462587841627,-1.72922101531942,Down_in_Sepsis
TSSC4,0.163726072558051,6.11950636445897,3.34555615967982,0.000916322545475899,0.00176586436392366,-1.73534176310816,Up_in_Sepsis
RAC3,0.10973909469891,4.48427377894225,3.34392731439313,0.000921539310318059,0.0017755170876216,-1.74059799002305,Up_in_Sepsis
REL,0.171373522367419,6.16285342375076,3.34366370137276,0.000922386188412779,0.00177674795562326,-1.74144843533141,Up_in_Sepsis
NENF,0.236061001921966,6.10273315279686,3.34186900870529,0.00092817106596616,0.00178748795364531,-1.7472366520632,Up_in_Sepsis
SLC19A1,0.203748441225562,5.68175486694508,3.34077652454196,0.000931709013382992,0.00179389690786838,-1.75075869516548,Up_in_Sepsis
SAP130,-0.176390522824961,6.09606505395137,-3.34001628768544,0.00093417839875095,0.00179824604546583,-1.75320897664505,Down_in_Sepsis
CYLD,-0.12847309049618,6.20578746806329,-3.33954107208567,0.000935725076460583,0.00180081745787513,-1.7547403558112,Down_in_Sepsis
