gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p
LRRN1,GSE236713,30,125,-1.668266549,0.428428481464,-1.74543925,0.46802545,2.096695030464,Up_in_Sepsis,0.9352,1.47670499582509e-13
LRRN1,GSE54514,18,35,7.35407201455556,7.34601267414286,7.3348052505,7.26224947,-0.00805934041269829,Down_in_Sepsis,0.457142857142857,0.621885846678168
LRRN1,GSE57065,25,28,2.4118638,3.62015571428571,2.4179,3.6697125,1.20829191428571,Up_in_Sepsis,0.965714285714285,1.6235659793742e-11
LRRN1,GSE65682,42,51,3.45069152916667,3.99531559703922,3.3387435385,3.834797785,0.544624067872549,Up_in_Sepsis,0.698879551820728,0.00102033981118695
LRRN1,GSE95233,22,51,3.55431540840909,5.38012391205882,3.62806274,5.400476055,1.82580850364973,Up_in_Sepsis,0.994652406417112,2.62469054871502e-11
EIF4G3,GSE137340,14,43,6.81440131257143,8.17403629774419,6.4340414965,8.172374826,1.35963498517276,Up_in_Sepsis,0.858803986710963,1.99991144589167e-05
EIF4G3,GSE236713,30,125,-0.990645624866666,0.311425086328,-1.05614781666667,0.390278096666667,1.30207071119467,Up_in_Sepsis,0.9184,1.21279262641199e-12
EIF4G3,GSE54514,18,35,8.36292166183333,8.58126881462857,8.305440426,8.570972443,0.218347152795237,Up_in_Sepsis,0.708730158730159,0.0138787061167146
EIF4G3,GSE57065,25,28,4.31478,5.09531321428571,4.3624,5.0703075,0.780533214285715,Up_in_Sepsis,1,2.21254562465821e-15
EIF4G3,GSE65682,42,51,4.12609285612857,4.40012387159216,4.116067153,4.459375022,0.274031015463585,Up_in_Sepsis,0.681139122315593,0.00277612651080502
EIF4G3,GSE95233,22,51,6.53619833375,7.35320601965686,6.586448255,7.42675563,0.817007685906863,Up_in_Sepsis,0.966131907308377,3.35282320392347e-10
HLA-DRA,GSE137340,14,43,11.7956561907143,11.8814242381977,11.672261195,11.890478775,0.0857680474833877,Up_in_Sepsis,0.548172757475083,0.601156915200568
HLA-DRA,GSE236713,30,125,1.50770212866667,-0.63892096888,1.6101177,-0.59573317,-2.14662309754667,Down_in_Sepsis,0.0298666666666666,1.43337123119402e-15
HLA-DRA,GSE54514,18,35,10.5237225559444,10.8152167050714,10.685018065,10.80700302,0.291494149126983,Up_in_Sepsis,0.563492063492063,0.461830916701879
HLA-DRA,GSE57065,25,28,10.9109424,9.55477178571429,11.04445,9.457255,-1.35617061428571,Down_in_Sepsis,0.0785714285714286,6.24469762121784e-09
HLA-DRA,GSE65682,42,51,10.3096743050595,9.14570403047059,10.3818455925,9.036172214,-1.16397027458894,Down_in_Sepsis,0.134920634920635,1.60768834134193e-09
HLA-DRA,GSE95233,22,51,10.4334353061364,8.56736766294118,10.47082615,8.593767615,-1.86606764319519,Down_in_Sepsis,0.0311942959001782,2.6568328672965e-10
NUSAP1,GSE137340,14,43,4.84754210932143,5.72190968913954,4.479372356,5.435684919,0.874367579818106,Up_in_Sepsis,0.872093023255814,8.24463721259666e-06
NUSAP1,GSE236713,30,125,-1.144938931,0.184010742184,-1.1821208,0.10547876,1.328949673184,Up_in_Sepsis,0.886933333333334,5.04942079900385e-11
NUSAP1,GSE54514,18,35,7.41447153355556,7.58718887741429,7.41761934775,7.5285303595,0.17271734385873,Up_in_Sepsis,0.665079365079365,0.0512864999292285
NUSAP1,GSE57065,25,28,4.676514,6.08080857142857,4.639135,6.17497,1.40429457142857,Up_in_Sepsis,0.964285714285714,2.05678241268228e-11
NUSAP1,GSE65682,42,51,2.31635408975397,3.1385205360719,2.289734528,2.781785024,0.822166446317927,Up_in_Sepsis,0.88655462184874,1.67745462605401e-10
NUSAP1,GSE95233,22,51,4.73952126931818,6.07991348176471,4.7505074975,5.6997716,1.34039221244652,Up_in_Sepsis,0.923351158645276,1.16712386229402e-08
PRF1,GSE137340,14,43,9.32492551192857,8.69386502541861,9.053954235,8.525522612,-0.631060486509966,Down_in_Sepsis,0.315614617940199,0.0395278901132636
PRF1,GSE236713,30,125,1.35118907033333,-0.2663513296,1.38126825,-0.1534996,-1.61754039993333,Down_in_Sepsis,0.120266666666667,1.13946343817083e-10
PRF1,GSE54514,18,35,8.4960291385,8.33293646388571,8.535378933,8.141581535,-0.163092674614287,Down_in_Sepsis,0.382539682539682,0.169030570051923
PRF1,GSE57065,25,28,9.5355144,7.68502321428572,9.43972,7.6176,-1.85049118571429,Down_in_Sepsis,0.0671428571428572,1.66003315635981e-09
PRF1,GSE65682,42,51,6.02112690760714,4.77303257662745,6.00905596475,4.554959574,-1.24809433097969,Down_in_Sepsis,0.166666666666667,3.62489033813588e-08
PRF1,GSE95233,22,51,9.62513631886364,7.26471138068628,9.689502325,7.22537834,-2.36042493817736,Down_in_Sepsis,0.00267379679144385,2.05178515500888e-11
VSIG4,GSE137340,14,43,4.63008178992857,6.01494695560465,4.4139989185,5.867212438,1.38486516567608,Up_in_Sepsis,0.89202657807309,1.9120745116751e-06
VSIG4,GSE236713,30,125,-3.33360905333333,1.017398512016,-3.275336,1.4247501,4.35100756534933,Up_in_Sepsis,0.9528,1.49264834572507e-14
VSIG4,GSE54514,18,35,7.55802530722222,7.6912268094,7.5016069415,7.581792355,0.133201502177777,Up_in_Sepsis,0.593650793650794,0.271889047022957
VSIG4,GSE57065,25,28,4.5915864,6.30070142857143,4.628,5.942995,1.70911502857143,Up_in_Sepsis,0.908571428571429,2.45735450533502e-08
VSIG4,GSE65682,42,51,2.85815244730159,3.84623663199346,2.44407194716667,3.64410957033333,0.988084184691877,Up_in_Sepsis,0.753968253968254,2.71890025629624e-05
VSIG4,GSE95233,22,51,4.92218644590909,6.86265454686275,4.857229825,6.72377599,1.94046810095365,Up_in_Sepsis,0.967914438502673,2.87149299473703e-10
NLRC3,GSE137340,14,43,5.30943638892857,5.23512471041861,5.23087919875,5.253141971,-0.0743116785099671,Down_in_Sepsis,0.456810631229236,0.64006068634829
NLRC3,GSE236713,30,125,0.3472071855,0.019929257944,0.3294891125,-0.045955775,-0.327277927556,Down_in_Sepsis,0.260533333333333,4.80583037797811e-05
NLRC3,GSE54514,18,35,7.14705814261111,7.14755228585714,7.1259708405,7.146943569,0.000494143246031698,Up_in_Sepsis,0.53015873015873,0.730730102071719
NLRC3,GSE57065,25,28,8.4811112,6.36227821428571,8.58323,6.40189,-2.11883298571429,Down_in_Sepsis,0,2.21254562465821e-15
NLRC3,GSE65682,42,51,4.88646998161905,4.23935209603922,4.645778139,4.101343153,-0.647117885579831,Down_in_Sepsis,0.261904761904762,8.37746746064173e-05
NLRC3,GSE95233,22,51,7.63367608181818,5.44067772882353,7.61084043,5.37236848,-2.19299835299465,Down_in_Sepsis,0,1.60188706567253e-11
HVCN1,GSE137340,14,43,6.15728288310714,6.36594036344186,6.12607197075,6.198150419,0.208657480334717,Up_in_Sepsis,0.578073089700997,0.392885191284656
HVCN1,GSE236713,30,125,0.9364832065,-0.415413752516,0.9901943075,-0.2414941785,-1.351896959016,Down_in_Sepsis,0.0682666666666666,2.29532700678025e-13
HVCN1,GSE54514,18,35,7.65099864538889,7.55727021358571,7.67186343675,7.5027832985,-0.0937284318031741,Down_in_Sepsis,0.320634920634921,0.0336987484346747
HVCN1,GSE57065,25,28,8.6590252,7.332315,8.65657,7.26984,-1.3267102,Down_in_Sepsis,0.00285714285714286,8.85018249863286e-15
HVCN1,GSE65682,42,51,5.98048891713095,4.94761399490196,5.9306035605,4.9310506885,-1.03287492222899,Down_in_Sepsis,0.196078431372549,5.11745189944627e-07
HVCN1,GSE95233,22,51,8.44862367954545,6.99176186607843,8.49448535,7.0193678,-1.45686181346702,Down_in_Sepsis,0.0017825311942959,1.88955739655682e-11
DHRS3,GSE137340,14,43,5.55084936521429,5.27163243813954,5.640370776,5.215096222,-0.279216927074751,Down_in_Sepsis,0.333887043189369,0.0646582863878954
DHRS3,GSE236713,30,125,1.35386949666667,-0.12059901532,1.40391085,-0.07216358,-1.47446851198667,Down_in_Sepsis,0.0530666666666666,3.23578325446997e-14
DHRS3,GSE54514,18,35,7.38676108255556,7.34972561417143,7.352461338,7.312664509,-0.0370354683841265,Down_in_Sepsis,0.374603174603175,0.141506854350495
DHRS3,GSE57065,25,28,6.698046,5.55574607142857,6.66131,5.540585,-1.14229992857143,Down_in_Sepsis,0.00285714285714286,8.85018249863286e-15
DHRS3,GSE65682,42,51,3.51551300792857,3.03277314835294,3.4364774545,2.84796973,-0.48273985957563,Down_in_Sepsis,0.271708683473389,0.000162453278229787
DHRS3,GSE95233,22,51,6.58019298590909,5.30746493156863,6.582108955,5.17644525,-1.27272805434046,Down_in_Sepsis,0.0436720142602495,7.78375215666962e-10
WSB1,GSE137340,14,43,7.65388872685714,9.03069428797674,7.2946631255,9.064331147,1.3768055611196,Up_in_Sepsis,0.852159468438538,3.04347690174248e-05
WSB1,GSE236713,30,125,-1.08910919133333,0.340143733024,-1.06008505,0.28591585,1.42925292435733,Up_in_Sepsis,0.9232,6.69959649076527e-13
WSB1,GSE54514,18,35,9.46674460841667,9.60778127434286,9.4580073355,9.481149197,0.14103666592619,Up_in_Sepsis,0.547619047619048,0.582925964615309
WSB1,GSE57065,25,28,6.4107612,8.16704351190476,6.36780666666667,8.37171833333333,1.75628231190476,Up_in_Sepsis,0.992857142857143,4.20383668685061e-14
WSB1,GSE65682,42,51,6.25385274089456,6.37508600597199,6.26778311671429,6.33667939742857,0.12123326507743,Up_in_Sepsis,0.513538748832866,0.825855711693937
WSB1,GSE95233,22,51,7.4778496019697,9.0621863820915,7.481995445,9.12323310333333,1.58433678012181,Up_in_Sepsis,1,1.60188706567253e-11
COL17A1,GSE137340,14,43,4.45358845896429,5.72561517976744,4.30852907025,5.3935172645,1.27202672080316,Up_in_Sepsis,0.92358803986711,1.24122170380611e-07
COL17A1,GSE236713,30,125,-2.27305892333333,0.448300560368,-2.15012385,0.4743929,2.72135948370133,Up_in_Sepsis,0.949866666666667,2.20038679780032e-14
COL17A1,GSE54514,18,35,7.55877251105556,7.61633255821429,7.418541789,7.4756383895,0.0575600471587308,Up_in_Sepsis,0.557142857142857,0.508552086621423
COL17A1,GSE57065,25,28,4.0029588,5.41459428571429,4.00153,5.296285,1.41163548571429,Up_in_Sepsis,0.957142857142857,6.3278804865225e-11
COL17A1,GSE65682,42,51,2.8403861505,4.70186157785294,2.67673723275,4.463769466,1.86147542735294,Up_in_Sepsis,0.906629318394024,1.81407085393543e-11
COL17A1,GSE95233,22,51,4.57999039636364,5.19428925254902,4.70824452,5.06570141,0.614298856185383,Up_in_Sepsis,0.85650623885918,1.5645681811231e-06
SH2D2A,GSE137340,14,43,5.06714114778572,5.21927578365116,4.9573040265,5.236784501,0.152134635865449,Up_in_Sepsis,0.581395348837209,0.372731651961575
SH2D2A,GSE236713,30,125,1.27358673433333,-0.110303092064,1.150724775,-0.018749595,-1.38388982639733,Down_in_Sepsis,0.0752,5.48915910333226e-13
SH2D2A,GSE54514,18,35,7.20249605177778,7.1861244474,7.2023272515,7.18654108,-0.0163716043777775,Down_in_Sepsis,0.447619047619048,0.545121751957247
SH2D2A,GSE57065,25,28,6.8088528,5.83651357142857,6.79429,5.697375,-0.972339228571429,Down_in_Sepsis,0.0771428571428572,5.32311262981583e-09
SH2D2A,GSE65682,42,51,4.36522422857143,3.37220571194118,4.5203968525,3.185579001,-0.993018516630253,Down_in_Sepsis,0.195611577964519,4.91565394238915e-07
SH2D2A,GSE95233,22,51,6.99523442045455,5.26735127372549,6.91179954,5.28637186,-1.72788314672906,Down_in_Sepsis,0.0071301247771836,3.09077930949446e-11
CLSTN1,GSE137340,14,43,5.50522324709524,5.55865818596899,5.4683266045,5.49370808766667,0.0534349388737549,Up_in_Sepsis,0.504983388704319,0.963464689999678
CLSTN1,GSE236713,30,125,1.195378201,-0.330004069544,1.25340155,-0.3149109,-1.525382270544,Down_in_Sepsis,0.0165333333333333,2.23022449395653e-16
CLSTN1,GSE54514,18,35,7.52156594058333,7.66402695521429,7.501963377,7.658690691,0.142461014630952,Up_in_Sepsis,0.7,0.0173911833216328
CLSTN1,GSE57065,25,28,6.8295196,5.83529642857143,6.8077,5.84866,-0.994223171428572,Down_in_Sepsis,0.03,7.7571849600517e-12
CLSTN1,GSE65682,42,51,3.9589420792381,3.56879915301961,3.8724967795,3.564182624,-0.390142926218487,Down_in_Sepsis,0.204014939309057,1.00520795442081e-06
CLSTN1,GSE95233,22,51,6.50340868318182,5.69351840254902,6.479627075,5.66898915,-0.809890280632798,Down_in_Sepsis,0.0133689839572193,5.45249501386452e-11
SLC36A1,GSE137340,14,43,5.36834375578571,6.26609923083721,5.2172862155,6.216704166,0.897755475051495,Up_in_Sepsis,0.770764119601329,0.00196863175131151
SLC36A1,GSE236713,30,125,-2.38962104666667,0.370897736592,-2.46955705,0.3440714,2.76051878325867,Up_in_Sepsis,0.9944,4.67077632717853e-17
SLC36A1,GSE54514,18,35,8.17284764194445,8.09716792782857,8.210329056,8.023094177,-0.0756797141158732,Down_in_Sepsis,0.412698412698413,0.309195100119527
SLC36A1,GSE57065,25,28,5.67726013333333,6.36936452380952,5.66955333333333,6.33311333333334,0.69210439047619,Up_in_Sepsis,0.985714285714286,3.07543841827492e-13
SLC36A1,GSE65682,42,51,3.68333410316667,3.9258257334,3.6923092594,3.9088342818,0.242491630233333,Up_in_Sepsis,0.725023342670402,0.00020146121540794
SLC36A1,GSE95233,22,51,6.70560630848485,7.70390139372549,6.68430672666667,7.67628275,0.998295085240642,Up_in_Sepsis,0.970588235294117,2.27348975174705e-10
DPY19L3,GSE137340,14,43,4.23340665192857,4.56144700704651,4.2161975615,4.377059715,0.328040355117941,Up_in_Sepsis,0.868770764119601,1.0352095404657e-05
DPY19L3,GSE236713,30,125,-1.08652657696667,0.421860991856,-1.081184875,0.34549117,1.50838756882267,Up_in_Sepsis,0.8848,6.43625306834105e-11
DPY19L3,GSE54514,18,35,7.14917099472222,7.15526432311429,7.150590062,7.135154247,0.00609332839206367,Up_in_Sepsis,0.507936507936508,0.933308660155946
DPY19L3,GSE57065,25,28,6.0625168,7.98052928571429,6.03315,8.09656,1.91801248571429,Up_in_Sepsis,0.961428571428571,3.26107099618374e-11
DPY19L3,GSE65682,42,51,2.57403198861905,2.93566718303922,2.5168691135,2.878089595,0.361635194420168,Up_in_Sepsis,0.750233426704015,3.56415344787041e-05
DPY19L3,GSE95233,22,51,6.79667287545455,8.77709064254902,6.778715055,8.79092787,1.98041776709447,Up_in_Sepsis,0.998217468805704,1.88955739655682e-11
LILRB3,GSE137340,14,43,11.8985558657143,13.0289695974419,11.8624151225,13.189878895,1.13041373172758,Up_in_Sepsis,0.875415282392027,6.53811501196993e-06
LILRB3,GSE236713,30,125,-1.459986804,0.203519264252,-1.448245995,0.29297376,1.663506068252,Up_in_Sepsis,0.982933333333333,2.4048647245251e-16
LILRB3,GSE54514,18,35,13.1803430452778,13.0914659094143,13.16352987,13.1163497,-0.088877135863493,Down_in_Sepsis,0.455555555555556,0.608776071190231
LILRB3,GSE57065,25,28,9.2699034,9.95134660714286,9.296835,10.02601,0.681443207142857,Up_in_Sepsis,0.904285714285714,3.7851498194051e-08
LILRB3,GSE65682,42,51,5.470849822,5.48744601859608,5.4723189952,5.5126531744,0.0165961965960788,Up_in_Sepsis,0.512605042016807,0.837900406763883
LILRB3,GSE95233,22,51,10.3755975621591,11.100380462598,10.34797536375,11.108406795,0.724782900438948,Up_in_Sepsis,0.947415329768271,1.64920787156369e-09
EMILIN2,GSE137340,14,43,7.33949255485714,9.39673616383721,7.018746708,9.464265431,2.05724360898007,Up_in_Sepsis,0.888704318936877,2.46942812179279e-06
EMILIN2,GSE236713,30,125,-1.01244754666667,-0.00343507148799997,-1.04604815,0.024497986,1.00901247517867,Up_in_Sepsis,0.872266666666667,2.60937083671852e-10
EMILIN2,GSE54514,18,35,9.57334582027778,9.68221378285714,9.5208711625,9.629037857,0.108867962579366,Up_in_Sepsis,0.552380952380952,0.545121751957247
EMILIN2,GSE57065,25,28,5.0957344,6.15864404761905,5.13196333333333,6.18028166666667,1.06290964761905,Up_in_Sepsis,0.962857142857143,2.59553727228655e-11
EMILIN2,GSE65682,42,51,6.80862898614286,7.6547813354902,6.7851443455,7.898482727,0.84615234934734,Up_in_Sepsis,0.790382819794585,1.60276759432169e-06
EMILIN2,GSE95233,22,51,6.47999677787879,7.54168831352941,6.52021395333334,7.67629235666667,1.06169153565062,Up_in_Sepsis,0.927807486631016,8.18661083468126e-09
IL1R1,GSE137340,14,43,4.33088103014286,4.8965065692093,4.2525747,4.66580794,0.565625539066446,Up_in_Sepsis,0.820598006644518,0.000186294412620237
IL1R1,GSE236713,30,125,-2.66152682,0.584737665396,-2.554641375,0.81595932,3.246264485396,Up_in_Sepsis,0.954933333333333,1.12386782366496e-14
