gene_symbol,global_logFC,global_adjP,global_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,max_auc,n_auc_ge_070,n_auc_ge_075,n_auc_ge_080,n_wilcox_p_lt_005,immune_GO_keyword_hit,score_direction,score_auc,score_min_auc,score_logfc,score_p,score_go,priority_score,passes_screening
HMGB3,0.952599754981655,2.03135260708979e-33,Up_in_Sepsis,6,6,1,0.87501940096687,0.913522068446829,0.649206349206349,0.9824,5,5,5,5,TRUE,1,0.965928348547765,0.889130434782608,0.124748054097654,0.091145961945695,1,0.750974874090939,TRUE
BCL6,1.59166304337627,8.17127548702372e-39,Up_in_Sepsis,6,6,1,0.821241039540082,0.906815368853673,0.537301587301587,0.997142857142857,4,4,4,4,TRUE,1,0.89508909214509,0.735869565217391,0.31609063220457,0.232594917083215,1,0.749580248965143,TRUE
C1QB,1.84649177949806,2.67888302358117e-32,Up_in_Sepsis,6,6,1,0.834990952716534,0.873272425249169,0.536507936507936,0.964266666666667,5,5,5,5,TRUE,1,0.913201091082566,0.734782608695652,0.392389158861857,0.0617794921414105,1,0.749214041672537,TRUE
ATP8B4,1.50586744774706,8.04848642373036e-47,Up_in_Sepsis,6,6,1,0.867933564818927,0.908312162074132,0.601587301587302,0.983065953654189,5,5,5,5,FALSE,1,0.956594569116891,0.823913043478261,0.290402487139703,0.442496262708305,0,0.748375326598592,TRUE
ELANE,1.90992482190117,6.40988149164841e-31,Up_in_Sepsis,6,6,1,0.832753097123275,0.881811815635345,0.536507936507936,0.9304,5,5,5,5,TRUE,1,0.910253287877762,0.734782608695652,0.411381709507454,0.0256301829350189,1,0.747563652387296,TRUE
NEDD4,1.15040483890161,3.63437922716079e-38,Up_in_Sepsis,6,6,1,0.865021120987742,0.92434950166113,0.544444444444444,0.982174688057041,5,5,5,5,TRUE,1,0.95275816819574,0.745652173913043,0.183973072037549,0.215603191036088,1,0.74683155645492,TRUE
MERTK,1.33509867236607,1.55736809843133e-36,Up_in_Sepsis,6,6,1,0.851904470540859,0.917957669325658,0.544444444444444,0.974285714285714,5,5,4,5,TRUE,1,0.935480331171718,0.745652173913043,0.239272437370075,0.172819505186818,1,0.745664741562665,TRUE
IL18R1,2.00100360128986,1.03289806449238e-31,Up_in_Sepsis,6,6,1,0.804457395267245,0.849326688815061,0.549206349206349,0.999108734402852,4,4,4,4,TRUE,1,0.872980927290841,0.752173913043478,0.438651697903817,0.0464141270051795,1,0.745159532529865,TRUE
LRG1,1.51547829067225,2.60692827873202e-38,Up_in_Sepsis,6,6,1,0.82290923224822,0.906871317829457,0.517740429505135,0.981428571428571,4,4,4,4,TRUE,1,0.897286509988357,0.709079283887468,0.293280079228753,0.21938620748442,1,0.741478478212382,TRUE
OLAH,2.49869216641562,4.62121478764895e-35,Up_in_Sepsis,6,6,1,0.836007232904907,0.871910299003322,0.555555555555555,0.9728,5,5,3,5,FALSE,1,0.914539780676877,0.760869565217391,0.587665128771859,0.134219811183312,0,0.740064119419782,TRUE
