seurat_cluster,score_name,n_cells,mean_score,median_score
9,Erythroid_score,2578,-0.134975455143163,-0.168660097650183
7,Erythroid_score,3375,-0.217083794435947,-0.227327387485686
1,Erythroid_score,6240,-0.0905895686642421,-0.1618496469179
10,Erythroid_score,1862,-0.0680380845127648,-0.141446661650807
4,Erythroid_score,4948,0.478005705726192,0.444611354968989
20,Erythroid_score,422,-0.261842116630988,-0.262409949913056
21,Erythroid_score,317,-0.209867522849076,-0.231811506919267
22,Erythroid_score,308,0.177419524203399,-0.00130413386499459
11,Erythroid_score,1739,-0.0799006496729714,-0.165444296891092
24,Erythroid_score,117,-0.169081515787426,-0.214012736540787
5,Erythroid_score,4780,-0.144692294613535,-0.195520309064885
23,Erythroid_score,236,-0.222774363901751,-0.25773837141994
12,Erythroid_score,1615,-0.0882375924843784,-0.206291548303975
19,Erythroid_score,440,0.128123372435309,-0.160130714408493
16,Erythroid_score,783,0.537242810258087,0.416444782012913
6,Erythroid_score,3627,-0.258284762656763,-0.285286210788506
14,Erythroid_score,912,6.46385871492863,6.57848053393762
15,Erythroid_score,902,-0.18601657540766,-0.249323507223273
17,Erythroid_score,764,-0.224384738501256,-0.28168322788976
8,Erythroid_score,3235,-0.200555945300309,-0.250550352825792
13,Erythroid_score,1580,-0.249200990250077,-0.294973324329543
